[2025-06-12 19:31:47.038] ----------------------------------------------------------
[2025-06-12 19:31:47.038] > System started!
[2025-06-12 19:31:47.038] ----------------------------------------------------------
[2025-06-12 19:31:47.038] 阀设备：12
[2025-06-12 19:31:47.038] System started!
2025-06-12 19:31:47.238  阀芯位移值: 991, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27464
2025-06-12 19:31:47.438  阀芯位移值: 993, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27517
2025-06-12 19:31:47.654  阀芯位移值: 991, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27464
2025-06-12 19:31:47.840  阀芯位移值: 993, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27499
2025-06-12 19:31:48.041  阀芯位移值: 992, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27481
2025-06-12 19:31:48.252  阀芯位移值: 993, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27499
2025-06-12 19:31:48.457  阀芯位移值: 993, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27499
2025-06-12 19:31:48.650  阀芯位移值: 992, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27481
2025-06-12 19:31:48.857  阀芯位移值: 991, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27446
2025-06-12 19:31:49.063  阀芯位移值: 992, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27481
2025-06-12 19:31:49.275  阀芯位移值: 989, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27410
2025-06-12 19:31:49.483  阀芯位移值: 992, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27535
2025-06-12 19:31:49.671  阀芯位移值: 994, PWMA: 0, PWMB: 0, er: 2, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27535
