[2025-06-12 17:34:20.665] ----------------------------------------------------------
[2025-06-12 17:34:20.665] > System restarted!
[2025-06-12 17:34:20.665] ----------------------------------------------------------
[2025-06-12 17:34:20.665] 阀设备：12
2025-06-12 17:34:20.881  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:21.067  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:21.283  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:21.465  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:21.670  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:21.877  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:22.081  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:22.285  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:22.502  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:22.692  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:22.896  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:23.091  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:23.294  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:23.501  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:23.705  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:23.904  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:24.114  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:24.316  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:24.532  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
2025-06-12 17:34:24.737  阀芯位移值: 1357, PWMA: 14446, PWMB: 14878, er: 0, isLVDT: 0, 外部模拟量: 36291, LVDT反馈电压: 37475
