[2025-05-22 16:49:30.476] ----------------------------------------------------------
[2025-05-22 16:49:30.477] > System restarted!
[2025-05-22 16:49:30.477] ----------------------------------------------------------
[2025-05-22 16:49:30.477] 阀设备：12
2025-05-22 16:49:30.684  阀芯位移值: 974, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 26982
2025-05-22 16:49:30.885  阀芯位移值: 974, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 26982
2025-05-22 16:49:31.077  阀芯位移值: 974, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27000
2025-05-22 16:49:31.285  阀芯位移值: 974, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27000
2025-05-22 16:49:31.487  阀芯位移值: 972, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 26946
2025-05-22 16:49:31.687  阀芯位移值: 974, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27000
2025-05-22 16:49:31.901  阀芯位移值: 974, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27000
2025-05-22 16:49:32.101  阀芯位移值: 975, PWMA: 0, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27017
2025-05-22 16:49:32.317  阀芯位移值: 972, PWMA: 0, PWMB: 1367, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 26928
2025-05-22 16:49:32.499  阀芯位移值: 958, PWMA: 0, PWMB: 2966, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 26571
2025-05-22 16:49:32.704  阀芯位移值: 866, PWMA: 0, PWMB: 3716, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 24055
2025-05-22 16:49:32.911  阀芯位移值: 497, PWMA: 0, PWMB: 4083, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 13972
2025-05-22 16:49:33.123  阀芯位移值: 456, PWMA: 0, PWMB: 4515, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12830
2025-05-22 16:49:33.314  阀芯位移值: 450, PWMA: 0, PWMB: 4678, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12670
2025-05-22 16:49:33.518  阀芯位移值: 444, PWMA: 0, PWMB: 4862, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12509
2025-05-22 16:49:33.722  阀芯位移值: 444, PWMA: 0, PWMB: 5010, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12509
2025-05-22 16:49:33.930  阀芯位移值: 442, PWMA: 0, PWMB: 5067, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12438
2025-05-22 16:49:34.126  阀芯位移值: 439, PWMA: 0, PWMB: 5102, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12366
2025-05-22 16:49:34.331  阀芯位移值: 437, PWMA: 0, PWMB: 5145, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:34.533  阀芯位移值: 437, PWMA: 0, PWMB: 5159, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:34.737  阀芯位移值: 435, PWMA: 0, PWMB: 5180, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12259
2025-05-22 16:49:34.936  阀芯位移值: 437, PWMA: 0, PWMB: 5194, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:35.149  阀芯位移值: 436, PWMA: 0, PWMB: 5194, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12277
2025-05-22 16:49:35.349  阀芯位移值: 439, PWMA: 0, PWMB: 5208, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12349
2025-05-22 16:49:35.549  阀芯位移值: 437, PWMA: 0, PWMB: 5208, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:35.758  阀芯位移值: 437, PWMA: 0, PWMB: 5208, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:35.957  阀芯位移值: 437, PWMA: 0, PWMB: 5222, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:36.172  阀芯位移值: 437, PWMA: 0, PWMB: 5208, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:36.363  阀芯位移值: 437, PWMA: 0, PWMB: 5215, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12295
2025-05-22 16:49:36.582  阀芯位移值: 437, PWMA: 0, PWMB: 5208, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:36.768  阀芯位移值: 437, PWMA: 0, PWMB: 5222, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12277
2025-05-22 16:49:36.974  阀芯位移值: 437, PWMA: 0, PWMB: 5208, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12313
2025-05-22 16:49:37.188  阀芯位移值: 436, PWMA: 0, PWMB: 5208, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 12277
2025-05-22 16:49:37.380  阀芯位移值: 897, PWMA: 448, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 24912
2025-05-22 16:49:37.594  阀芯位移值: 1000, PWMA: 2308, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 27713
2025-05-22 16:49:37.793  阀芯位移值: 1203, PWMA: 3419, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 33245
2025-05-22 16:49:37.987  阀芯位移值: 1399, PWMA: 3992, PWMB: 0, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 38635
