[2025-05-28 14:23:28.211] ----------------------------------------------------------
[2025-05-28 14:23:28.212] > System started!
[2025-05-28 14:23:28.213] ----------------------------------------------------------
[2025-05-28 14:23:28.213] 阀设备：1
[2025-05-28 14:23:40.019] System started!
2025-05-28 14:23:40.232  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:40.417  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:40.603  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:40.791  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:40.976  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:41.164  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:41.352  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:41.552  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:41.740  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:41.929  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
2025-05-28 14:23:42.130  阀芯位移值: 300, PWMA: 500, PWMB: 800, er: 0, isLVDT: 0, 外部模拟量: 0, LVDT反馈电压: 0
